Id,Overall Qual,Year Built,Year Remod/Add,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Cars,Garage Area,totalsqft
1425,8,2007,2007,1615.0,1615,1615,3.0,864.0,3230.0
2695,5,1938,1995,803.0,803,1360,1.0,297.0,1606.0
738,5,1924,1950,468.0,822,1142,1.0,320.0,1290.0
395,6,1969,2005,1026.0,1026,1026,2.0,440.0,2052.0
1353,7,1925,1950,1026.0,1133,1820,1.0,240.0,2159.0
1878,5,1958,1983,1024.0,1344,1344,1.0,484.0,2368.0
390,7,1975,1975,1176.0,1193,1193,2.0,506.0,2369.0
1456,7,2000,2000,992.0,992,1865,3.0,839.0,1984.0
1103,8,1998,1998,1982.0,2006,2006,3.0,938.0,3988.0
1387,5,1920,1950,1300.0,1140,1140,2.0,400.0,2440.0
2070,5,1958,1998,1158.0,1176,1176,1.0,303.0,2334.0
1199,7,1971,1971,825.0,845,1670,2.0,464.0,1670.0
2479,6,1992,1992,761.0,810,1603,2.0,484.0,1571.0
501,8,1994,1995,2024.0,2063,2063,3.0,815.0,4087.0
2362,4,1971,1971,858.0,858,858,0.0,0.0,1716.0
1718,6,2005,2006,1302.0,1302,1302,2.0,631.0,2604.0
2188,3,1931,2006,544.0,774,774,0.0,0.0,1318.0
1483,6,2004,2004,848.0,848,848,2.0,420.0,1696.0
2557,4,1926,1953,600.0,747,747,2.0,528.0,1347.0
437,8,2007,2007,1508.0,1508,2520,3.0,640.0,3016.0
2224,6,1960,1960,1560.0,1560,1560,2.0,580.0,3120.0
1628,7,1991,1992,384.0,802,1472,2.0,402.0,1186.0
397,5,1971,1971,1043.0,1050,1050,1.0,336.0,2093.0
587,6,1967,1976,1680.0,1724,1724,2.0,480.0,3404.0
2182,10,2007,2008,3138.0,3138,4676,3.0,884.0,6276.0
971,5,1960,2006,0.0,1771,1771,2.0,336.0,1771.0
2611,6,1962,1985,1135.0,1207,1207,1.0,264.0,2342.0
1887,5,1959,1959,0.0,882,882,1.0,294.0,882.0
2399,9,2004,2005,1780.0,1780,1780,3.0,816.0,3560.0
2148,7,2002,2002,1459.0,1459,1459,2.0,527.0,2918.0
304,6,1921,1975,629.0,727,1107,1.0,625.0,1356.0
1997,5,1930,2005,687.0,687,1358,1.0,336.0,1374.0
2817,4,1910,2000,676.0,760,1436,2.0,528.0,1436.0
1431,6,1997,1997,616.0,616,1688,2.0,603.0,1232.0
427,8,2008,2009,2042.0,2042,2042,3.0,1390.0,4084.0
263,5,1972,1972,876.0,876,876,2.0,484.0,1752.0
598,6,1971,1971,1232.0,1320,1320,2.0,495.0,2552.0
2895,8,1981,1981,1686.0,1707,1707,2.0,511.0,3393.0
687,6,1948,1994,864.0,1064,1495,2.0,576.0,1928.0
1822,5,1962,2001,999.0,999,999,1.0,264.0,1998.0
2191,4,1910,2000,560.0,796,1346,1.0,384.0,1356.0
179,6,1938,2000,827.0,827,1251,1.0,240.0,1654.0
1009,8,1988,1989,1228.0,1228,1228,2.0,472.0,2456.0
2010,5,1939,1998,728.0,728,1274,1.0,224.0,1456.0
1991,6,1927,1950,728.0,914,1642,1.0,374.0,1642.0
1411,5,1956,1956,1509.0,1509,1509,1.0,322.0,3018.0
1721,8,2006,2006,1554.0,1554,1554,2.0,627.0,3108.0
1144,6,2001,2001,827.0,827,1677,2.0,627.0,1654.0
593,8,2001,2001,810.0,810,1665,2.0,528.0,1620.0
575,8,1977,2008,1694.0,1694,1694,2.0,642.0,3388.0
1249,6,1957,1957,998.0,1790,1790,2.0,540.0,2788.0
1604,5,1984,1985,876.0,923,923,1.0,264.0,1799.0
1064,10,2003,2003,2535.0,2470,2470,3.0,789.0,5005.0
1923,6,1957,1957,1244.0,1244,1244,1.0,336.0,2488.0
1988,5,1945,1997,686.0,866,866,0.0,0.0,1552.0
2325,6,1993,1994,697.0,697,1501,2.0,420.0,1394.0
114,6,1978,1978,1224.0,1287,1891,2.0,678.0,2511.0
2700,6,1964,1964,1921.0,1921,1921,2.0,576.0,3842.0
217,4,1967,1967,1832.0,1832,1832,0.0,0.0,3664.0
343,6,1974,1974,1434.0,1434,1434,2.0,528.0,2868.0
386,8,2000,2001,1058.0,1058,1874,2.0,588.0,2116.0
2005,4,1949,2002,0.0,1382,1382,1.0,384.0,1382.0
2908,5,2006,2006,1140.0,1140,1140,0.0,0.0,2280.0
1814,7,1998,1998,1482.0,1494,1494,2.0,514.0,2976.0
2446,10,1995,1996,1930.0,1831,3627,3.0,807.0,3761.0
208,5,1900,1996,360.0,1032,1812,2.0,672.0,1392.0
1679,5,1970,1970,630.0,630,1302,2.0,440.0,1260.0
822,9,2008,2008,1720.0,1720,1720,3.0,846.0,3440.0
6,6,1998,1998,926.0,926,1604,2.0,470.0,1852.0
1781,10,2007,2007,1966.0,1966,1966,3.0,1092.0,3932.0
2397,8,2006,2006,1085.0,1120,1970,3.0,753.0,2205.0
2340,9,2005,2005,1714.0,1714,1714,2.0,517.0,3428.0
1618,6,1997,1997,794.0,794,1470,2.0,388.0,1588.0
2843,4,1912,1950,795.0,954,2230,1.0,440.0,1749.0
1061,9,2005,2005,1414.0,1414,2331,3.0,1003.0,2828.0
2786,5,1972,1972,864.0,864,864,1.0,288.0,1728.0
1935,5,1953,2006,1008.0,1008,1008,1.0,240.0,2016.0
1341,5,1920,1997,565.0,565,1216,1.0,355.0,1130.0
521,9,2007,2008,1530.0,1530,1530,3.0,984.0,3060.0
2136,5,1976,1976,1015.0,1025,1025,2.0,370.0,2040.0
996,6,1998,1998,943.0,943,1638,2.0,472.0,1886.0
227,5,1968,1968,720.0,720,1440,2.0,480.0,1440.0
135,6,1966,2008,1080.0,1128,1128,1.0,315.0,2208.0
1167,6,1999,1999,744.0,757,1549,2.0,440.0,1501.0
294,7,1941,1985,1528.0,1225,2133,1.0,312.0,2753.0
1776,7,2007,2007,1369.0,1369,1369,2.0,605.0,2738.0
540,7,2004,2005,1114.0,1114,1114,2.0,576.0,2228.0
1717,6,2005,2006,1302.0,1302,1302,2.0,631.0,2604.0
2303,5,1983,1983,816.0,816,816,1.0,264.0,1632.0
116,6,1972,2006,1161.0,1381,1381,2.0,676.0,2542.0
127,5,1950,1996,1078.0,1078,1078,1.0,240.0,2156.0
1371,6,1906,1995,756.0,756,1469,1.0,216.0,1512.0
1014,6,1952,1952,1632.0,1474,1474,2.0,495.0,3106.0
1507,5,1947,1993,0.0,929,1137,0.0,0.0,929.0
702,5,1952,1952,960.0,960,1960,2.0,400.0,1920.0
750,6,1915,1950,1048.0,1048,1768,2.0,576.0,2096.0
261,6,1977,1977,689.0,689,1392,1.0,299.0,1378.0
1559,4,1920,1950,592.0,432,864,1.0,216.0,1024.0
577,7,1981,1981,1740.0,1740,1740,2.0,540.0,3480.0
2812,7,2004,2004,860.0,860,1720,2.0,565.0,1720.0
2080,6,1954,1954,988.0,988,1626,1.0,332.0,1976.0
1368,6,1920,1998,901.0,1088,1198,0.0,0.0,1989.0
2376,5,1967,1967,864.0,900,900,1.0,288.0,1764.0
659,5,1924,2006,768.0,792,792,1.0,240.0,1560.0
1235,5,1955,1955,1098.0,1098,1098,1.0,260.0,2196.0
332,4,1970,1970,546.0,546,1092,0.0,0.0,1092.0
1917,6,1957,1999,936.0,936,936,1.0,315.0,1872.0
2094,7,1991,1991,1104.0,912,2127,3.0,833.0,2016.0
1460,8,2001,2002,1055.0,1055,2263,2.0,905.0,2110.0
1471,6,1997,1998,1478.0,1493,1493,2.0,508.0,2971.0
1509,5,1946,1995,768.0,768,1200,1.0,240.0,1536.0
1922,5,1954,2005,1056.0,1056,1056,1.0,260.0,2112.0
433,10,2007,2007,2630.0,2674,2674,3.0,762.0,5304.0
460,9,2008,2008,1451.0,1456,1456,2.0,539.0,2907.0
1116,8,2007,2007,1563.0,1563,1563,3.0,758.0,3126.0
1137,6,2003,2004,1114.0,1114,1114,2.0,576.0,2228.0
53,7,2006,2006,1145.0,1145,1145,2.0,437.0,2290.0
2354,7,2005,2006,960.0,960,2318,2.0,541.0,1920.0
1475,7,2004,2004,1445.0,1445,1445,2.0,470.0,2890.0
1761,10,1996,1996,2396.0,2411,4476,3.0,813.0,4807.0
842,5,1994,1995,990.0,990,990,2.0,480.0,1980.0
2739,5,1962,1962,1776.0,1560,1560,2.0,528.0,3336.0
2509,7,2005,2005,600.0,520,1223,2.0,480.0,1120.0
1007,7,1994,1996,712.0,1086,1895,2.0,409.0,1798.0
2610,6,1962,1981,912.0,1085,1734,2.0,440.0,1997.0
1952,5,1920,1950,691.0,691,691,1.0,216.0,1382.0
2719,5,1977,1977,1949.0,1949,1949,2.0,586.0,3898.0
2921,4,1970,1970,546.0,546,1092,1.0,286.0,1092.0
1966,5,1960,1960,1242.0,1242,1242,1.0,324.0,2484.0
292,5,1931,1950,894.0,894,1666,0.0,0.0,1788.0
1204,7,1968,1968,832.0,1098,1978,2.0,486.0,1930.0
1829,7,1974,2003,1192.0,1516,2167,2.0,518.0,2708.0
2419,7,2006,2006,738.0,738,1492,2.0,440.0,1476.0
391,6,1974,1974,1064.0,1350,1350,2.0,478.0,2414.0
798,6,1939,1950,560.0,698,1258,1.0,280.0,1258.0
481,7,2003,2003,782.0,806,1489,2.0,400.0,1588.0
193,7,1922,2005,1108.0,1160,2068,1.0,315.0,2268.0
555,5,1962,1962,980.0,980,980,2.0,400.0,1960.0
899,3,1952,1952,0.0,944,944,2.0,528.0,944.0
2357,7,1976,1976,832.0,832,1664,2.0,528.0,1664.0
328,5,1973,1973,945.0,945,945,1.0,253.0,1890.0
1356,6,1918,2000,816.0,838,838,1.0,275.0,1654.0
1154,5,1963,1963,864.0,864,864,1.0,276.0,1728.0
1730,6,2005,2007,783.0,783,1484,2.0,393.0,1566.0
2249,6,1978,1978,888.0,912,912,2.0,470.0,1800.0
1119,8,2007,2008,955.0,955,1874,3.0,880.0,1910.0
2856,5,1939,1950,992.0,992,1465,1.0,240.0,1984.0
1394,5,1958,1987,533.0,1021,1601,1.0,300.0,1554.0
2587,5,1956,1956,301.0,1145,1145,2.0,684.0,1446.0
61,8,1998,1998,1629.0,1645,2475,3.0,962.0,3274.0
2661,7,1910,2005,1226.0,1226,2104,2.0,432.0,2452.0
2711,6,1964,1964,912.0,934,934,1.0,336.0,1846.0
1147,6,1993,1993,832.0,832,1710,2.0,506.0,1664.0
757,6,1915,2002,483.0,741,1427,1.0,379.0,1224.0
2623,4,1950,1950,0.0,1040,1040,2.0,420.0,1040.0
2378,6,1976,1976,855.0,855,1456,2.0,460.0,1710.0
1413,6,1962,2001,621.0,621,1269,1.0,280.0,1242.0
1722,8,2006,2006,1370.0,1370,1370,2.0,484.0,2740.0
1112,6,2007,2007,894.0,894,1933,3.0,668.0,1788.0
1623,6,1999,2000,923.0,947,1714,2.0,451.0,1870.0
1201,6,1974,1974,901.0,943,1876,2.0,540.0,1844.0
1513,4,1923,2008,949.0,949,1292,1.0,205.0,1898.0
957,7,1965,1965,2136.0,2036,2036,2.0,513.0,4172.0
1171,9,1999,2000,1557.0,1557,1557,2.0,484.0,3114.0
1145,7,1992,1992,836.0,844,1737,2.0,506.0,1680.0
2726,7,1967,1967,1865.0,1830,1830,2.0,521.0,3695.0
703,7,1946,1992,651.0,707,1389,1.0,240.0,1358.0
760,4,1923,1950,858.0,892,892,0.0,0.0,1750.0
1964,5,1959,2003,1040.0,1040,1040,1.0,286.0,2080.0
2512,7,1999,1999,691.0,713,1452,2.0,506.0,1404.0
159,6,1980,1980,1056.0,1056,1056,2.0,576.0,2112.0
1281,6,1963,1963,780.0,983,1796,2.0,483.0,1763.0
468,6,2005,2005,684.0,684,1560,2.0,400.0,1368.0
290,6,1939,1950,856.0,856,856,2.0,399.0,1712.0
665,5,1920,1950,720.0,846,846,2.0,576.0,1566.0
1463,8,2002,2002,1128.0,1149,2290,2.0,779.0,2277.0
1792,7,2006,2006,982.0,982,1977,3.0,574.0,1964.0
923,5,1960,1960,1273.0,1273,1273,1.0,307.0,2546.0
500,7,1996,1997,1264.0,1277,2344,3.0,889.0,2541.0
1408,5,1940,2007,1580.0,1518,1518,0.0,0.0,3098.0
331,4,1972,1972,630.0,630,630,0.0,0.0,1260.0
170,4,1900,1954,709.0,1157,1844,1.0,240.0,1866.0
2192,4,1955,1955,768.0,768,768,1.0,355.0,1536.0
2571,8,1918,1990,1360.0,1360,3112,2.0,795.0,2720.0
2314,6,1995,1996,691.0,691,1498,2.0,409.0,1382.0
2647,5,1925,1950,844.0,844,844,1.0,216.0,1688.0
422,9,2007,2007,1776.0,1794,2772,3.0,754.0,3570.0
2457,8,2005,2006,2077.0,2097,2097,3.0,1134.0,4174.0
1838,7,2006,2007,1352.0,1352,1352,2.0,466.0,2704.0
2805,8,2006,2006,1079.0,1079,1919,2.0,685.0,2158.0
1645,6,1984,1984,1284.0,1284,1284,2.0,480.0,2568.0
1711,8,2003,2004,1181.0,1234,2374,3.0,656.0,2415.0
2825,7,2003,2005,1150.0,1164,2314,2.0,502.0,2314.0
322,9,2008,2009,2002.0,2018,2018,3.0,746.0,4020.0
2103,8,2007,2007,1643.0,1651,1651,3.0,870.0,3294.0
342,6,1956,1956,882.0,882,882,1.0,502.0,1764.0
600,4,1960,1960,894.0,894,894,2.0,396.0,1788.0
488,6,2000,2000,982.0,1007,1800,2.0,463.0,1989.0
1725,9,2007,2007,1869.0,1869,1869,2.0,617.0,3738.0
2246,8,2006,2007,1573.0,1625,1625,2.0,495.0,3198.0
2847,6,1940,2000,940.0,1192,1595,1.0,240.0,2132.0
806,8,1995,1995,1128.0,1142,2020,2.0,466.0,2270.0
530,7,2003,2004,912.0,912,2094,2.0,615.0,1824.0
963,6,1988,1988,1392.0,1412,1412,2.0,576.0,2804.0
2678,3,1930,1950,728.0,728,1162,1.0,258.0,1456.0
171,4,1910,2004,576.0,792,1140,0.0,0.0,1368.0
2401,9,2005,2006,1848.0,1848,2728,3.0,706.0,3696.0
805,7,1993,1994,1079.0,1079,1879,2.0,473.0,2158.0
2259,6,1958,1995,585.0,2279,2279,2.0,461.0,2864.0
1748,7,2004,2004,384.0,744,1374,2.0,400.0,1128.0
1361,6,1952,1952,768.0,768,1536,1.0,308.0,1536.0
1677,6,1973,1973,672.0,672,1218,1.0,264.0,1344.0
1406,6,1953,1953,1094.0,1094,1094,2.0,495.0,2188.0
2322,7,2006,2006,868.0,887,2021,2.0,422.0,1755.0
688,6,1964,1964,780.0,993,1806,2.0,483.0,1773.0
143,5,1957,1957,1314.0,1314,1314,1.0,294.0,2628.0
804,7,1993,1993,740.0,1006,1775,2.0,425.0,1746.0
1214,6,1964,1964,1248.0,1350,1350,2.0,520.0,2598.0
2828,6,2005,2006,547.0,1072,1072,2.0,525.0,1619.0
1999,6,1910,1998,1214.0,1260,2291,2.0,506.0,2474.0
2467,7,2006,2006,770.0,778,1576,2.0,614.0,1548.0
2665,7,1920,1950,596.0,998,1762,2.0,576.0,1594.0
1538,8,1935,1997,728.0,1968,3447,3.0,1014.0,2696.0
398,4,1970,1970,864.0,864,864,2.0,576.0,1728.0
2822,5,1969,1969,1176.0,1176,1176,1.0,360.0,2352.0
2157,6,2003,2003,848.0,848,848,2.0,420.0,1696.0
1856,5,1978,1978,1360.0,1432,1432,2.0,588.0,2792.0
1269,5,1950,1950,0.0,1048,1048,2.0,420.0,1048.0
2570,5,1954,1954,936.0,1128,1128,1.0,286.0,2064.0
2320,8,2005,2005,893.0,901,1801,3.0,800.0,1794.0
1517,6,1925,1950,672.0,810,1482,1.0,400.0,1482.0
2304,5,1991,1992,974.0,974,974,0.0,0.0,1948.0
1312,5,1900,2003,346.0,709,1017,1.0,308.0,1055.0
2012,6,1941,1950,735.0,869,1218,2.0,440.0,1604.0
506,7,1994,1994,973.0,979,1850,2.0,467.0,1952.0
2865,6,1932,1950,952.0,1170,2345,2.0,360.0,2122.0
2367,6,1973,1973,483.0,483,987,1.0,264.0,966.0
554,6,1928,1950,784.0,784,784,2.0,360.0,1568.0
238,5,1956,1956,1144.0,1144,1144,1.0,596.0,2288.0
1954,5,1961,1961,920.0,888,888,1.0,240.0,1808.0
2488,6,1977,1977,0.0,1286,1654,2.0,528.0,1286.0
2291,4,1976,1976,546.0,546,1092,1.0,286.0,1092.0
1969,5,1961,1961,0.0,925,925,1.0,300.0,925.0
2725,5,1956,1987,1188.0,1437,1437,2.0,576.0,2625.0
1482,6,2004,2004,848.0,848,848,2.0,420.0,1696.0
2763,7,2005,2005,784.0,784,1596,2.0,610.0,1568.0
503,7,1995,1996,1070.0,1094,2061,2.0,647.0,2164.0
1584,8,2003,2003,1432.0,1440,1440,2.0,467.0,2872.0
1531,6,1923,1950,784.0,819,1603,2.0,599.0,1603.0
2210,6,1946,1950,979.0,979,1958,2.0,492.0,1958.0
459,9,2008,2009,1884.0,1884,1884,2.0,649.0,3768.0
556,5,1977,1977,980.0,980,980,2.0,484.0,1960.0
1347,5,1923,1950,1100.0,1226,1902,2.0,576.0,2326.0
1290,5,1940,1950,672.0,672,672,1.0,256.0,1344.0
1388,5,1959,1959,1006.0,1006,1006,0.0,0.0,2012.0
1571,5,1965,1965,1499.0,1619,1786,2.0,529.0,3118.0
2754,7,2006,2006,1286.0,1294,1294,2.0,662.0,2580.0
765,5,1978,1978,1152.0,1152,1152,1.0,252.0,2304.0
2494,5,1965,1965,1024.0,1024,1024,1.0,308.0,2048.0
2870,5,1950,1963,1168.0,1278,2315,1.0,342.0,2446.0
7,8,2001,2001,1338.0,1338,1338,2.0,582.0,2676.0
1114,7,2006,2006,1578.0,1578,1578,3.0,642.0,3156.0
2418,8,2004,2005,1052.0,1052,2373,3.0,632.0,2104.0
291,4,1967,1967,0.0,862,2650,0.0,0.0,862.0
18,9,2010,2010,1856.0,1856,1856,3.0,834.0,3712.0
39,9,2009,2010,1930.0,1940,1940,3.0,606.0,3870.0
1001,8,1997,1997,1664.0,1682,1682,2.0,528.0,3346.0
2442,7,1999,1999,975.0,1005,2291,2.0,429.0,1980.0
616,5,1950,1950,709.0,979,1203,1.0,352.0,1688.0
2680,4,1947,1950,0.0,672,912,0.0,0.0,672.0
1414,5,1900,1950,861.0,961,1367,1.0,384.0,1822.0
289,5,1924,1950,1026.0,1026,1691,1.0,308.0,2052.0
40,8,2009,2010,1544.0,1544,1544,3.0,868.0,3088.0
860,5,1972,1972,894.0,894,894,2.0,600.0,1788.0
409,6,1976,1976,958.0,958,958,2.0,440.0,1916.0
673,5,1957,2000,992.0,1306,1306,1.0,756.0,2298.0
2427,7,2005,2006,1142.0,1142,1142,2.0,440.0,2284.0
2036,7,1950,2005,976.0,976,1952,1.0,299.0,1952.0
2564,5,1949,1973,704.0,1024,1728,1.0,234.0,1728.0
642,5,1958,1958,1866.0,1866,1866,2.0,495.0,3732.0
1008,6,1991,1991,836.0,851,1709,2.0,416.0,1687.0
1908,5,1948,1950,928.0,928,1920,2.0,400.0,1856.0
2519,8,1980,1980,1235.0,1235,1235,2.0,484.0,2470.0
1369,5,1912,1991,451.0,759,759,2.0,576.0,1210.0
2855,7,1920,1950,793.0,901,1802,1.0,216.0,1694.0
712,5,1923,1950,624.0,792,792,1.0,287.0,1416.0
1943,4,1890,2006,925.0,1000,1544,0.0,0.0,1925.0
1958,6,1948,1950,1082.0,1082,1082,1.0,240.0,2164.0
107,8,1980,1980,728.0,788,788,2.0,484.0,1516.0
2295,5,1977,1994,1160.0,1676,1676,2.0,672.0,2836.0
704,5,1910,1950,801.0,801,1447,0.0,0.0,1602.0
676,5,1949,1950,832.0,1036,1268,1.0,288.0,1868.0
259,6,1998,1998,804.0,804,1682,2.0,523.0,1608.0
93,8,1992,1993,1390.0,1402,2225,3.0,713.0,2792.0
106,8,2000,2000,975.0,975,1848,2.0,592.0,1950.0
2315,6,1996,1996,821.0,821,1776,2.0,443.0,1642.0
1050,5,1966,1966,864.0,892,892,1.0,264.0,1756.0
1095,7,2004,2005,788.0,788,1490,2.0,388.0,1576.0
2709,5,1967,1967,1064.0,1064,1064,2.0,528.0,2128.0
758,7,1902,2000,1020.0,978,1864,0.0,0.0,1998.0
1496,6,1976,2001,684.0,684,1398,2.0,440.0,1368.0
2370,6,1972,1972,672.0,672,1218,1.0,264.0,1344.0
2458,8,2006,2006,1660.0,1660,1660,2.0,500.0,3320.0
2733,4,1954,1954,967.0,1350,1350,2.0,504.0,2317.0
161,7,1967,2007,710.0,1898,2978,2.0,564.0,2608.0
726,6,1910,2002,741.0,780,1521,3.0,640.0,1521.0
845,7,1999,1999,1431.0,1431,1431,2.0,666.0,2862.0
947,8,2000,2001,1107.0,1040,2052,3.0,642.0,2147.0
2232,5,1919,2005,793.0,997,1517,0.0,0.0,1790.0
2563,6,1941,1950,806.0,958,1578,1.0,240.0,1764.0
2299,4,1961,1961,1396.0,1608,1608,1.0,444.0,3004.0
211,5,1917,1950,689.0,725,1224,1.0,180.0,1414.0
605,5,1958,1958,1584.0,1776,1776,3.0,888.0,3360.0
1478,8,2007,2007,1234.0,1234,1234,2.0,484.0,2468.0
2247,8,2006,2007,1573.0,1625,1625,2.0,538.0,3198.0
2274,5,1963,1963,1572.0,1572,1572,3.0,995.0,3144.0
2869,5,1977,1977,1430.0,1647,1647,2.0,621.0,3077.0
967,7,2003,2003,912.0,1072,2014,2.0,486.0,1984.0
2656,3,1955,2005,1162.0,1163,1163,1.0,220.0,2325.0
667,6,1969,1969,1248.0,1248,2544,3.0,907.0,2496.0
1042,6,1972,1972,483.0,483,987,1.0,352.0,966.0
2023,6,1919,1950,764.0,1060,1824,2.0,520.0,1824.0
2447,9,2000,2000,1540.0,1540,2855,3.0,774.0,3080.0
2055,6,1966,1966,814.0,913,913,1.0,240.0,1727.0
2275,8,2006,2007,1732.0,1776,1776,3.0,712.0,3508.0
2204,7,1918,1998,912.0,912,1426,1.0,216.0,1824.0
1563,8,2004,2005,1594.0,1646,1646,2.0,482.0,3240.0
483,7,2007,2008,1314.0,1314,1314,2.0,626.0,2628.0
796,5,1984,1984,1049.0,1049,1049,1.0,266.0,2098.0
1526,6,1915,1976,840.0,840,1680,1.0,308.0,1680.0
2042,7,1910,1950,925.0,964,1889,1.0,308.0,1889.0
442,9,2008,2008,1774.0,1808,1808,3.0,850.0,3582.0
1693,8,2006,2007,1108.0,1148,2550,3.0,670.0,2256.0
1468,7,1994,1995,915.0,933,1908,2.0,493.0,1848.0
1430,6,1966,1966,1182.0,1643,1643,2.0,438.0,2825.0
2605,5,1900,1970,954.0,1766,2414,2.0,520.0,2720.0
1529,8,1925,1997,798.0,798,1512,1.0,180.0,1596.0
335,5,1962,1962,1188.0,1188,1188,1.0,312.0,2376.0
1287,5,1948,2005,780.0,948,1323,2.0,400.0,1728.0
31,5,1971,1971,525.0,525,1092,1.0,320.0,1050.0
1785,7,2007,2007,1726.0,1726,1726,3.0,786.0,3452.0
82,6,1980,1981,650.0,888,1564,2.0,476.0,1538.0
2620,4,1950,1950,910.0,910,1521,1.0,597.0,1820.0
252,7,2009,2009,1226.0,1226,1226,3.0,740.0,2452.0
721,4,1910,1950,624.0,816,816,0.0,0.0,1440.0
2165,6,2006,2007,1330.0,1330,1330,2.0,437.0,2660.0
2316,6,1997,1997,802.0,802,1511,2.0,413.0,1604.0
775,5,1982,1982,858.0,858,858,2.0,576.0,1716.0
1558,3,1935,1950,894.0,894,894,3.0,1248.0,1788.0
17,8,1988,2005,559.0,1080,1752,2.0,492.0,1639.0
1022,7,1979,1979,1782.0,1782,1782,2.0,551.0,3564.0
925,5,1921,1950,731.0,820,1343,1.0,186.0,1551.0
438,8,2006,2006,1709.0,1717,1717,3.0,908.0,3426.0
1270,5,1960,1960,1075.0,1507,1507,1.0,404.0,2582.0
1272,5,1962,1962,1027.0,1027,1027,1.0,299.0,2054.0
215,5,1910,1950,856.0,936,1680,2.0,450.0,1792.0
266,7,2003,2003,941.0,941,1829,2.0,613.0,1882.0
2402,8,2005,2005,1058.0,1058,1904,2.0,736.0,2116.0
1250,5,1951,1951,952.0,952,952,2.0,840.0,1904.0
1984,4,1937,2000,907.0,1131,1131,2.0,672.0,2038.0
1279,5,1955,1967,768.0,1024,1588,2.0,480.0,1792.0
377,7,1980,1991,1043.0,1539,2673,2.0,441.0,2582.0
